order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at
692,78,878,154350,6,debit,3/27/2017 22:51
2493,78,834,102900,4,debit,3/4/2017 4:37
1260,78,775,77175,3,credit_card,3/27/2017 9:27
2565,78,915,77175,3,debit,3/25/2017 1:19
2691,78,962,77175,3,debit,3/22/2017 7:33
2907,78,817,77175,3,debit,3/16/2017 3:45
3404,78,928,77175,3,debit,3/16/2017 9:45
3725,78,766,77175,3,credit_card,3/16/2017 14:13
4193,78,787,77175,3,credit_card,3/18/2017 9:25
4421,78,969,77175,3,debit,3/9/2017 15:21
4716,78,818,77175,3,debit,3/5/2017 5:10
491,78,936,51450,2,debit,3/26/2017 17:08
494,78,983,51450,2,cash,3/16/2017 21:39
512,78,967,51450,2,cash,3/9/2017 7:23
618,78,760,51450,2,cash,3/18/2017 11:18
1530,78,810,51450,2,cash,3/29/2017 7:12
2453,78,709,51450,2,cash,3/27/2017 11:04
2496,78,707,51450,2,cash,3/26/2017 4:38
2513,78,935,51450,2,debit,3/18/2017 18:57
2819,78,869,51450,2,debit,3/17/2017 6:25
2822,78,814,51450,2,cash,3/2/2017 17:13
3102,78,855,51450,2,credit_card,3/21/2017 5:10
3168,78,927,51450,2,cash,3/12/2017 12:23
3706,78,828,51450,2,credit_card,3/14/2017 20:43
4080,78,946,51450,2,cash,3/20/2017 21:14
4312,78,960,51450,2,debit,3/1/2017 3:02
4413,78,756,51450,2,debit,3/2/2017 4:13
161,78,990,25725,1,credit_card,3/12/2017 5:56
1057,78,800,25725,1,debit,3/15/2017 10:16
1194,78,944,25725,1,debit,3/16/2017 16:38
1205,78,970,25725,1,credit_card,3/17/2017 22:32
1385,78,867,25725,1,cash,3/17/2017 16:38
1420,78,912,25725,1,cash,3/30/2017 12:23
1453,78,812,25725,1,credit_card,3/17/2017 18:09
2271,78,855,25725,1,credit_card,3/14/2017 23:58
2549,78,861,25725,1,cash,3/17/2017 19:36
2774,78,890,25725,1,cash,3/26/2017 10:36
2923,78,740,25725,1,debit,3/12/2017 20:10
3086,78,910,25725,1,cash,3/26/2017 1:59
3152,78,745,25725,1,credit_card,3/18/2017 13:13
3441,78,982,25725,1,debit,3/19/2017 19:02
3781,78,889,25725,1,cash,3/11/2017 21:14
4041,78,852,25725,1,cash,3/2/2017 14:31
4506,78,866,25725,1,debit,3/22/2017 22:06
4585,78,997,25725,1,cash,3/25/2017 21:48
4919,78,823,25725,1,cash,3/15/2017 13:26
16,42,607,704000,2000,credit_card,3/7/2017 4:00
61,42,607,704000,2000,credit_card,3/4/2017 4:00
521,42,607,704000,2000,credit_card,3/2/2017 4:00
1105,42,607,704000,2000,credit_card,3/24/2017 4:00
1363,42,607,704000,2000,credit_card,3/15/2017 4:00
1437,42,607,704000,2000,credit_card,3/11/2017 4:00
1563,42,607,704000,2000,credit_card,3/19/2017 4:00
1603,42,607,704000,2000,credit_card,3/17/2017 4:00
2154,42,607,704000,2000,credit_card,3/12/2017 4:00
2298,42,607,704000,2000,credit_card,3/7/2017 4:00
2836,42,607,704000,2000,credit_card,3/28/2017 4:00
2970,42,607,704000,2000,credit_card,3/28/2017 4:00
3333,42,607,704000,2000,credit_card,3/24/2017 4:00
4057,42,607,704000,2000,credit_card,3/28/2017 4:00
4647,42,607,704000,2000,credit_card,3/2/2017 4:00
4869,42,607,704000,2000,credit_card,3/22/2017 4:00
4883,42,607,704000,2000,credit_card,3/25/2017 4:00
1365,42,797,1760,5,cash,3/10/2017 6:28
1368,42,926,1408,4,cash,3/13/2017 2:38
1472,42,907,1408,4,debit,3/12/2017 23:00
939,42,808,1056,3,credit_card,3/13/2017 23:43
2988,42,819,1056,3,cash,3/3/2017 9:09
3514,42,726,1056,3,debit,3/24/2017 17:51
410,42,904,704,2,credit_card,3/4/2017 14:32
836,42,819,704,2,cash,3/9/2017 14:15
1521,42,756,704,2,debit,3/22/2017 13:10
1912,42,739,704,2,cash,3/7/2017 5:42
2004,42,934,704,2,cash,3/26/2017 9:21
2274,42,747,704,2,debit,3/27/2017 20:48
2492,42,868,704,2,debit,3/1/2017 18:33
2610,42,868,704,2,debit,3/23/2017 18:10
2767,42,970,704,2,credit_card,3/5/2017 10:45
4295,42,859,704,2,cash,3/24/2017 20:50
4327,42,788,704,2,debit,3/16/2017 23:37
4422,42,736,704,2,credit_card,3/1/2017 12:19
4768,42,720,704,2,credit_card,3/14/2017 10:26
41,42,793,352,1,credit_card,3/24/2017 14:15
309,42,770,352,1,credit_card,3/11/2017 18:14
835,42,792,352,1,cash,3/25/2017 21:31
980,42,744,352,1,debit,3/12/2017 13:09
1513,42,946,352,1,debit,3/24/2017 13:35
1930,42,770,352,1,credit_card,3/17/2017 8:11
2019,42,739,352,1,debit,3/1/2017 12:42
2054,42,951,352,1,debit,3/19/2017 11:49
3652,42,830,352,1,credit_card,3/24/2017 22:26
3698,42,839,352,1,debit,3/12/2017 2:45
3904,42,975,352,1,debit,3/12/2017 1:28
3999,42,886,352,1,debit,3/9/2017 20:10
4232,42,962,352,1,cash,3/4/2017 0:01
4626,42,809,352,1,credit_card,3/11/2017 8:21
4746,42,872,352,1,debit,3/24/2017 0:57
743,12,727,804,4,cash,3/14/2017 16:38
1765,12,789,804,4,debit,3/3/2017 3:10
2283,12,800,603,3,debit,3/21/2017 11:54
3060,12,844,603,3,credit_card,3/12/2017 7:59
3342,12,832,603,3,cash,3/8/2017 1:05
3776,12,960,603,3,cash,3/3/2017 0:38
4117,12,917,603,3,debit,3/28/2017 9:42
4809,12,891,603,3,debit,3/4/2017 10:50
4901,12,774,603,3,debit,3/10/2017 17:48
272,12,727,402,2,credit_card,3/24/2017 22:40
497,12,818,402,2,cash,3/4/2017 7:42
958,12,842,402,2,debit,3/10/2017 21:20
1050,12,708,402,2,debit,3/1/2017 1:11
1076,12,961,402,2,debit,3/26/2017 18:04
1079,12,777,402,2,credit_card,3/17/2017 11:48
1207,12,721,402,2,debit,3/19/2017 13:15
1510,12,720,402,2,credit_card,3/24/2017 2:24
1568,12,753,402,2,cash,3/28/2017 14:51
1893,12,990,402,2,cash,3/14/2017 8:59
1918,12,787,402,2,debit,3/15/2017 20:39
2259,12,734,402,2,credit_card,3/19/2017 8:14
2317,12,794,402,2,debit,3/18/2017 8:41
2811,12,894,402,2,credit_card,3/11/2017 3:05
3061,12,990,402,2,debit,3/22/2017 23:52
3128,12,866,402,2,debit,3/15/2017 6:04
3559,12,903,402,2,cash,3/28/2017 7:28
3572,12,930,402,2,cash,3/22/2017 2:02
4601,12,990,402,2,credit_card,3/16/2017 2:00
4949,12,845,402,2,cash,3/1/2017 10:59
108,12,732,201,1,credit_card,3/21/2017 20:26
181,12,871,201,1,cash,3/2/2017 4:37
267,12,879,201,1,cash,3/14/2017 12:22
327,12,920,201,1,debit,3/26/2017 19:24
688,12,768,201,1,cash,3/10/2017 13:59
757,12,901,201,1,cash,3/7/2017 19:56
1156,12,860,201,1,debit,3/23/2017 11:31
1195,12,950,201,1,debit,3/7/2017 16:21
1824,12,763,201,1,credit_card,3/6/2017 1:09
1919,12,860,201,1,debit,3/5/2017 8:55
2229,12,813,201,1,debit,3/2/2017 10:52
2584,12,823,201,1,credit_card,3/11/2017 10:25
2612,12,947,201,1,cash,3/22/2017 19:57
3036,12,994,201,1,cash,3/30/2017 18:48
3602,12,987,201,1,debit,3/9/2017 8:42
3793,12,823,201,1,credit_card,3/29/2017 9:26
4146,12,849,201,1,credit_card,3/10/2017 7:45
4408,12,799,201,1,debit,3/12/2017 18:37
4411,12,705,201,1,debit,3/6/2017 10:15
4590,12,805,201,1,cash,3/4/2017 6:37
4771,12,714,201,1,debit,3/30/2017 11:16
4845,12,949,201,1,cash,3/15/2017 17:10
4912,12,805,201,1,credit_card,3/7/2017 20:31
4995,12,954,201,1,cash,3/22/2017 0:38
3078,89,754,980,5,debit,3/13/2017 5:27
995,89,723,784,4,cash,3/5/2017 9:05
2141,89,767,784,4,cash,3/5/2017 23:52
206,89,747,588,3,debit,3/4/2017 4:01
587,89,958,588,3,cash,3/11/2017 12:39
906,89,742,588,3,cash,3/20/2017 13:55
925,89,953,588,3,credit_card,3/3/2017 1:11
1181,89,975,588,3,debit,3/29/2017 14:28
1315,89,741,588,3,cash,3/19/2017 11:00
1418,89,874,588,3,cash,3/4/2017 11:07
2428,89,960,588,3,credit_card,3/10/2017 19:50
3103,89,743,588,3,cash,3/30/2017 12:48
3433,89,718,588,3,debit,3/15/2017 17:44
3806,89,953,588,3,debit,3/6/2017 23:24
3892,89,724,588,3,debit,3/17/2017 2:19
4145,89,874,588,3,debit,3/3/2017 12:15
453,89,779,392,2,debit,3/16/2017 18:22
499,89,827,392,2,credit_card,3/28/2017 2:44
522,89,716,392,2,cash,3/23/2017 15:25
735,89,837,392,2,credit_card,3/18/2017 9:52
870,89,847,392,2,cash,3/14/2017 21:16
1636,89,919,392,2,cash,3/28/2017 8:14
2092,89,940,392,2,cash,3/2/2017 4:17
2127,89,821,392,2,cash,3/12/2017 21:59
2325,89,845,392,2,credit_card,3/18/2017 18:32
2585,89,700,392,2,cash,3/21/2017 12:18
2643,89,712,392,2,debit,3/12/2017 17:46
2967,89,887,392,2,cash,3/26/2017 21:04
3116,89,785,392,2,credit_card,3/4/2017 22:36
3393,89,709,392,2,credit_card,3/26/2017 1:43
3714,89,983,392,2,debit,3/14/2017 11:14
4127,89,935,392,2,cash,3/29/2017 3:56
4241,89,844,392,2,debit,3/22/2017 10:43
4317,89,911,392,2,cash,3/21/2017 17:43
4639,89,903,392,2,cash,3/16/2017 3:54
4669,89,800,392,2,cash,3/5/2017 22:01
4777,89,785,392,2,cash,3/18/2017 15:26
846,89,902,196,1,credit_card,3/18/2017 3:11
1193,89,838,196,1,credit_card,3/11/2017 18:04
1248,89,722,196,1,cash,3/29/2017 5:07
2185,89,720,196,1,cash,3/1/2017 10:44
2406,89,808,196,1,debit,3/13/2017 4:55
2446,89,973,196,1,debit,3/15/2017 6:07
2462,89,781,196,1,debit,3/26/2017 20:45
3002,89,711,196,1,cash,3/24/2017 19:50
3083,89,992,196,1,cash,3/18/2017 3:10
3554,89,968,196,1,credit_card,3/16/2017 5:39
3731,89,932,196,1,debit,3/28/2017 4:13
3798,89,701,196,1,debit,3/19/2017 4:12
3959,89,932,196,1,debit,3/1/2017 10:48
4010,89,831,196,1,cash,3/12/2017 15:57
4055,89,819,196,1,debit,3/9/2017 14:22
4074,89,781,196,1,credit_card,3/3/2017 3:28
4165,89,783,196,1,credit_card,3/13/2017 3:25
4459,89,780,196,1,cash,3/3/2017 2:43
4484,89,763,196,1,credit_card,3/9/2017 8:45
4641,89,858,196,1,cash,3/20/2017 0:39
4690,89,775,196,1,debit,3/3/2017 18:53
4720,89,966,196,1,credit_card,3/17/2017 9:03
4764,89,757,196,1,debit,3/17/2017 8:31
4878,89,834,196,1,debit,3/14/2017 7:47
260,99,963,780,4,credit_card,3/25/2017 11:41
4296,99,760,780,4,cash,3/16/2017 21:22
238,99,835,585,3,debit,3/3/2017 17:45
1209,99,815,585,3,debit,3/4/2017 13:48
1983,99,734,585,3,debit,3/14/2017 12:30
2199,99,958,585,3,cash,3/29/2017 6:59
3031,99,729,585,3,cash,3/10/2017 6:26
3073,99,901,585,3,credit_card,3/9/2017 14:01
4299,99,775,585,3,credit_card,3/18/2017 14:49
475,99,829,390,2,debit,3/6/2017 4:27
978,99,870,390,2,credit_card,3/26/2017 6:01
1007,99,980,390,2,credit_card,3/28/2017 6:42
2053,99,814,390,2,debit,3/19/2017 7:11
2120,99,756,390,2,cash,3/2/2017 19:03
2147,99,844,390,2,credit_card,3/5/2017 2:09
2537,99,782,390,2,cash,3/8/2017 8:40
2617,99,728,390,2,debit,3/9/2017 14:13
2759,99,974,390,2,debit,3/14/2017 10:32
3110,99,990,390,2,debit,3/25/2017 0:11
3183,99,731,390,2,cash,3/9/2017 2:42
3304,99,904,390,2,cash,3/30/2017 17:52
3316,99,915,390,2,cash,3/25/2017 22:42
3380,99,934,390,2,debit,3/23/2017 18:17
3436,99,966,390,2,debit,3/28/2017 1:48
3818,99,963,390,2,credit_card,3/19/2017 6:18
3859,99,931,390,2,cash,3/24/2017 22:14
4087,99,897,390,2,debit,3/22/2017 7:08
4479,99,862,390,2,cash,3/2/2017 13:33
4961,99,951,390,2,debit,3/30/2017 8:50
45,99,759,195,1,credit_card,3/2/2017 8:13
428,99,905,195,1,debit,3/10/2017 5:54
473,99,914,195,1,cash,3/9/2017 5:52
639,99,756,195,1,debit,3/20/2017 14:32
778,99,874,195,1,debit,3/24/2017 23:58
874,99,743,195,1,credit_card,3/11/2017 10:31
916,99,709,195,1,cash,3/25/2017 10:26
967,99,847,195,1,debit,3/17/2017 1:20
1056,99,783,195,1,debit,3/14/2017 14:12
1126,99,975,195,1,cash,3/15/2017 13:15
1273,99,977,195,1,credit_card,3/3/2017 20:19
1283,99,936,195,1,debit,3/7/2017 20:24
1553,99,751,195,1,cash,3/21/2017 6:28
1592,99,978,195,1,debit,3/10/2017 2:02
1789,99,816,195,1,debit,3/19/2017 14:21
2213,99,864,195,1,cash,3/26/2017 23:18
2876,99,784,195,1,debit,3/6/2017 20:32
2995,99,731,195,1,debit,3/14/2017 6:07
3258,99,862,195,1,cash,3/17/2017 11:22
3274,99,758,195,1,debit,3/6/2017 0:59
3766,99,730,195,1,cash,3/7/2017 13:44
3861,99,743,195,1,debit,3/10/2017 15:16
4308,99,788,195,1,debit,3/26/2017 7:46
4593,99,801,195,1,debit,3/5/2017 11:29
4694,99,818,195,1,debit,3/26/2017 8:55
2495,50,757,965,5,debit,3/4/2017 7:32
738,50,873,772,4,debit,3/2/2017 21:26
4981,50,942,772,4,credit_card,3/23/2017 5:15
528,50,940,579,3,debit,3/26/2017 5:17
559,50,755,579,3,debit,3/7/2017 22:45
634,50,721,579,3,debit,3/8/2017 11:19
1354,50,700,579,3,cash,3/7/2017 18:00
1820,50,910,579,3,cash,3/1/2017 19:31
3394,50,914,579,3,debit,3/29/2017 4:21
3494,50,752,579,3,cash,3/5/2017 2:32
3666,50,873,579,3,debit,3/10/2017 20:09
3750,50,926,579,3,credit_card,3/7/2017 0:01
4381,50,977,579,3,debit,3/17/2017 16:49
290,50,803,386,2,debit,3/30/2017 5:45
561,50,762,386,2,credit_card,3/18/2017 10:22
830,50,816,386,2,cash,3/11/2017 3:58
965,50,740,386,2,debit,3/6/2017 22:23
1058,50,882,386,2,debit,3/15/2017 12:59
1251,50,959,386,2,cash,3/30/2017 19:44
1412,50,905,386,2,cash,3/14/2017 0:45
1439,50,728,386,2,credit_card,3/9/2017 8:16
1498,50,752,386,2,credit_card,3/25/2017 22:29
2201,50,705,386,2,credit_card,3/18/2017 8:17
2422,50,829,386,2,credit_card,3/19/2017 11:13
2573,50,867,386,2,debit,3/5/2017 18:31
2634,50,986,386,2,credit_card,3/11/2017 20:07
3052,50,930,386,2,cash,3/15/2017 13:23
3381,50,824,386,2,debit,3/10/2017 17:18
3657,50,788,386,2,cash,3/26/2017 23:26
4412,50,756,386,2,debit,3/1/2017 5:36
4456,50,744,386,2,debit,3/15/2017 11:25
91,50,744,193,1,debit,3/2/2017 6:36
176,50,792,193,1,credit_card,3/20/2017 13:51
445,50,787,193,1,debit,3/21/2017 10:26
730,50,942,193,1,cash,3/5/2017 15:15
890,50,857,193,1,credit_card,3/13/2017 7:58
1537,50,947,193,1,debit,3/4/2017 0:25
2027,50,790,193,1,debit,3/18/2017 1:31
2296,50,894,193,1,debit,3/17/2017 20:04
2884,50,886,193,1,credit_card,3/13/2017 7:44
3184,50,724,193,1,credit_card,3/23/2017 7:22
3581,50,718,193,1,debit,3/16/2017 7:45
3708,50,922,193,1,debit,3/11/2017 7:13
3712,50,899,193,1,credit_card,3/30/2017 4:13
2387,38,847,760,4,cash,3/25/2017 9:48
3118,38,794,760,4,credit_card,3/4/2017 7:58
4513,38,848,760,4,debit,3/27/2017 7:18
4906,38,748,760,4,debit,3/30/2017 17:21
243,38,881,570,3,credit_card,3/13/2017 19:44
1362,38,846,570,3,cash,3/21/2017 19:25
3155,38,906,570,3,debit,3/15/2017 3:22
3690,38,700,570,3,cash,3/8/2017 3:34
3794,38,845,570,3,debit,3/7/2017 7:55
4264,38,728,570,3,credit_card,3/9/2017 15:22
621,38,803,380,2,debit,3/2/2017 3:35
1083,38,890,380,2,credit_card,3/27/2017 23:33
1548,38,820,380,2,cash,3/26/2017 23:01
2135,38,842,380,2,credit_card,3/9/2017 23:39
2424,38,994,380,2,credit_card,3/19/2017 8:31
2538,38,739,380,2,credit_card,3/6/2017 23:11
2621,38,888,380,2,credit_card,3/24/2017 23:18
3419,38,811,380,2,cash,3/30/2017 16:13
3590,38,857,380,2,cash,3/19/2017 23:08
3977,38,753,380,2,debit,3/15/2017 20:50
4126,38,851,380,2,cash,3/8/2017 13:11
4287,38,710,380,2,cash,3/26/2017 0:49
4615,38,842,380,2,credit_card,3/29/2017 15:52
296,38,835,190,1,debit,3/21/2017 6:36
413,38,867,190,1,debit,3/5/2017 0:39
1009,38,791,190,1,cash,3/6/2017 9:36
1259,38,725,190,1,debit,3/15/2017 9:57
1387,38,981,190,1,credit_card,3/2/2017 7:24
1639,38,819,190,1,credit_card,3/10/2017 0:11
1694,38,742,190,1,debit,3/18/2017 14:49
1855,38,952,190,1,credit_card,3/28/2017 20:34
2322,38,960,190,1,debit,3/8/2017 15:58
2661,38,796,190,1,cash,3/9/2017 11:14
4643,38,965,190,1,debit,3/21/2017 18:00
4796,38,947,190,1,credit_card,3/27/2017 3:18
1257,6,942,935,5,credit_card,3/12/2017 19:49
